msg_id,conv_id,conv_turn,sender_user_id,receiver_user_id,sent_at,text,answer
3bfd07af-70c7-4e7e-a6ba-a785bd0a3926,chat:u_barbara_u_naama,1,u_naama,u_barbara,2019-10-27 13:41:10,"Hi Bubbi, I'm at a memorial on Thursday evening... Is there a chance I could take your Friday morning shift?","Hiiiii
I'm at Ben Gurion Airport until the evening
I just won't be able to get there physically"
1557bed6-ba95-4028-94fa-989fdf27c54b,chat:u_barbara_u_naama,2,u_barbara,u_naama,2019-10-27 13:41:37,"Hiiiii
I'm at Ben Gurion Airport until the evening
I just won't be able to get there physically",Oh Tuvik never mind
acda5d19-b839-4ccc-aaef-8ecfb3c78da3,chat:u_barbara_u_naama,3,u_naama,u_barbara,2019-10-27 13:45:11,Oh Tuvik never mind,"‎image omitted
Naama, if I need to, are you free today? Because I don't feel well, I don't want to disappoint Noam
Niron just never did a closing shift"
c60054f3-023a-4a8b-90e1-bd8fad70547c,chat:u_barbara_u_naama,4,u_barbara,u_naama,2019-11-04 18:17:03,"‎image omitted
Naama, if I need to, are you free today? Because I don't feel well, I don't want to disappoint Noam
Niron just never did a closing shift",‎audio omitted
7ffc76a6-59f5-4b21-bdbb-15e44537c9d2,chat:u_barbara_u_naama,5,u_naama,u_barbara,2019-11-11 14:54:12,‎audio omitted,"Ahhhhh
No leave it, I'll ask about Niron if it's possible"
615d7373-42f9-4b81-845c-bb11085f3658,chat:u_barbara_u_naama,6,u_barbara,u_naama,2019-11-11 14:58:26,"Ahhhhh
No leave it, I'll ask about Niron if it's possible",‎audio omitted
a0817144-72db-464f-b971-69d509c29bea,chat:u_barbara_u_naama,7,u_naama,u_barbara,2019-11-11 14:59:39,‎audio omitted,"Hi Naama something very urgent came up for me on Friday, could you switch with me and I'll switch with you on Wednesday instead"
5553c020-909b-47dd-b0a4-1ecd3cabe2bd,chat:u_barbara_u_naama,8,u_barbara,u_naama,2019-11-25 20:32:50,"Hi Naama something very urgent came up for me on Friday, could you switch with me and I'll switch with you on Wednesday instead","I wish I could
Really
I have a family event"
bb136d97-fa76-429c-9aad-f443350b212c,chat:u_barbara_u_naama,9,u_naama,u_barbara,2019-11-25 20:37:58,"I wish I could
Really
I have a family event","Woooow
I really don't know what to do anymore"
1cf78e56-f93d-4155-9384-baaff4950138,chat:u_barbara_u_naama,10,u_barbara,u_naama,2019-11-25 20:38:09,"Woooow
I really don't know what to do anymore","Otherwise I would have been with you on the shift
I am so sorry"
34705e8d-752f-4aa8-9a8d-a1b122bdda9f,chat:u_barbara_u_naama,11,u_naama,u_barbara,2019-11-25 20:40:45,"Otherwise I would have been with you on the shift
I am so sorry","Me too the only one working it, damn it
It's fine, what's wrong with you lol
You're not to blame lol"
fd6179c6-a053-4827-86bb-d664a2ae874c,chat:u_barbara_u_naama,12,u_barbara,u_naama,2019-11-25 20:40:55,"Me too the only one working it, damn it
It's fine, what's wrong with you lol
You're not to blame lol",Yes they are really looking for someone else for Friday
60a5fce7-4103-459e-9cb7-9315319beacd,chat:u_barbara_u_naama,13,u_naama,u_barbara,2019-11-25 20:41:18,Yes they are really looking for someone else for Friday,Probably no one can
